month,USJ,ディズニーランド
2004-01,23,43
2004-02,24,46
2004-03,30,46
2004-04,23,46
2004-05,25,46
2004-06,23,52
2004-07,31,50
2004-08,32,52
2004-09,33,62
2004-10,27,60
2004-11,29,52
2004-12,31,47
2005-01,20,35
2005-02,17,37
2005-03,28,43
2005-04,22,34
2005-05,19,34
2005-06,16,36
2005-07,24,39
2005-08,29,40
2005-09,24,54
2005-10,26,49
2005-11,25,46
2005-12,22,33
2006-01,16,27
2006-02,14,30
2006-03,22,36
2006-04,19,32
2006-05,19,30
2006-06,16,30
2006-07,21,32
2006-08,20,30
2006-09,23,43
2006-10,22,41
2006-11,21,36
2006-12,23,32
2007-01,18,26
2007-02,17,30
2007-03,24,30
2007-04,19,27
2007-05,17,33
2007-06,15,28
2007-07,18,31
2007-08,22,33
2007-09,21,41
2007-10,19,38
2007-11,20,34
2007-12,19,32
2008-01,15,27
2008-02,14,26
2008-03,18,29
2008-04,15,30
2008-05,14,29
2008-06,14,32
2008-07,16,38
2008-08,17,33
2008-09,18,42
2008-10,18,42
2008-11,16,40
2008-12,17,36
2009-01,15,30
2009-02,14,30
2009-03,20,34
2009-04,15,32
2009-05,14,33
2009-06,13,33
2009-07,17,33
2009-08,18,36
2009-09,18,44
2009-10,16,41
2009-11,15,37
2009-12,14,34
2010-01,13,29
2010-02,12,31
2010-03,17,35
2010-04,14,33
2010-05,14,34
2010-06,13,35
2010-07,17,34
2010-08,17,34
2010-09,16,39
2010-10,16,40
2010-11,17,38
2010-12,16,35
2011-01,14,32
2011-02,14,35
2011-03,18,53
2011-04,16,38
2011-05,17,34
2011-06,16,39
2011-07,23,44
2011-08,24,53
2011-09,26,58
2011-10,27,60
2011-11,23,58
2011-12,21,53
2012-01,16,47
2012-02,16,47
2012-03,23,58
2012-04,21,56
2012-05,23,54
2012-06,21,54
2012-07,26,59
2012-08,28,66
2012-09,36,80
2012-10,33,81
2012-11,27,77
2012-12,24,66
2013-01,19,62
2013-02,19,65
2013-03,30,80
2013-04,40,92
2013-05,24,87
2013-06,24,80
2013-07,38,85
2013-08,43,91
2013-09,40,100
2013-10,36,100
2013-11,32,96
2013-12,30,84
2014-01,25,78
2014-02,24,81
2014-03,32,96
2014-04,33,81
2014-05,29,84
2014-06,30,85
2014-07,56,79
2014-08,44,81
2014-09,53,88
2014-10,47,85
2014-11,48,85
2014-12,39,73
2015-01,42,84
2015-02,43,90
2015-03,48,91
2015-04,35,70
2015-05,36,75
2015-06,40,68
2015-07,44,73
2015-08,49,84
2015-09,58,88
2015-10,51,81
2015-11,41,78
2015-12,39,73
2016-01,39,70
2016-02,41,80
2016-03,48,87
2016-04,38,68
2016-05,40,65
2016-06,39,64
2016-07,47,63
2016-08,49,63
2016-09,50,76
2016-10,47,70
2016-11,43,70
2016-12,42,62
2017-01,37,65
2017-02,38,64
2017-03,44,81
2017-04,41,69
2017-05,40,64
2017-06,43,67
2017-07,45,64
2017-08,52,67
2017-09,52,75
2017-10,47,73
2017-11,42,76
2017-12,37,68
2018-01,37,63
2018-02,39,68
2018-03,45,79
